[2025-12-07 00:42:42] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:08] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:08] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:09] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:09] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:09] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:09] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:09] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:10] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:12] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:45:12] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:12] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:45:12] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:13] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:13] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:14] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:14] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:14] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:45:14] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:14] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:45:14] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:15] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:45:15] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:15] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:45:15] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:15] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:15] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:16] INTERACTIVE_WAIT_END | Key received: VK=9
[2025-12-07 00:45:16] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:17] INTERACTIVE_WAIT_END | Key received: VK=9
[2025-12-07 00:45:17] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:17] INTERACTIVE_WAIT_END | Key received: VK=9
[2025-12-07 00:45:17] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:17] INTERACTIVE_WAIT_END | Key received: VK=9
[2025-12-07 00:45:17] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:18] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:21] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:22] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:22] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:22] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:22] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:22] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:23] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:23] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:23] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:23] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:25] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:25] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:25] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:45:25] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:25] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:45:25] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:26] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:27] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:28] INTERACTIVE_WAIT_END | Key received: VK=8
[2025-12-07 00:45:28] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:28] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:28] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:29] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:29] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:29] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:30] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:30] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:31] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:31] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:31] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:31] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:32] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:32] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:33] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:33] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:34] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:34] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:34] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:45:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:35] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:45:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:36] INTERACTIVE_WAIT_END | Key received: VK=8
[2025-12-07 00:45:36] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:37] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:37] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:37] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:37] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:37] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:37] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:38] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:45:38] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:40] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:59:59] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:02] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:03] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:03] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:03] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:03] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:03] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:03] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:03] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:04] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:04] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:04] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:04] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:04] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:04] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:05] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:05] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:06] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 01:00:06] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:06] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 01:00:06] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:07] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 01:00:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:08] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:08] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:08] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 01:00:09] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:09] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:09] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:09] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:09] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:10] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:10] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:10] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 01:00:10] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:10] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 01:00:15] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:16] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 01:00:16] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:17] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 01:00:17] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:18] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 01:00:18] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:18] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 01:00:18] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:20] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 01:00:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:20] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 01:00:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:20] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 01:00:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:22] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 01:00:22] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:22] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 01:00:22] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:23] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 01:00:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:23] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:23] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:24] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 01:00:24] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:24] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 01:00:24] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:25] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 01:00:25] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:25] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:25] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:26] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 01:00:26] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:26] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 01:00:26] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:30] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 01:00:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:30] INTERACTIVE_WAIT_END | Key received: VK=83
[2025-12-07 01:00:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:34] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:34] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:00:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:00:35] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 01:00:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:03:47] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:03:47] PROMPT_WAIT_END | Input received
[2025-12-07 01:03:47] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:03:47] PROMPT_WAIT_END | Input received
[2025-12-07 01:03:56] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:03:56] PROMPT_WAIT_END | Input received
[2025-12-07 01:03:57] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:03:57] PROMPT_WAIT_END | Input received
[2025-12-07 01:03:57] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:03:57] PROMPT_WAIT_END | Input received
[2025-12-07 01:06:33] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:06:33] PROMPT_WAIT_END | Input received
[2025-12-07 01:06:33] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:06:33] PROMPT_WAIT_END | Input received
[2025-12-07 01:06:57] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:06:58] PROMPT_WAIT_END | Input received
[2025-12-07 01:06:58] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:06:58] PROMPT_WAIT_END | Input received
[2025-12-07 01:06:59] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:06:59] PROMPT_WAIT_END | Input received
[2025-12-07 01:07:09] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:07:09] PROMPT_WAIT_END | Input received
[2025-12-07 01:07:09] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:07:09] PROMPT_WAIT_END | Input received
[2025-12-07 01:07:15] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:07:15] PROMPT_WAIT_END | Input received
[2025-12-07 01:07:15] PROMPT_WAIT_START | Numbered menu awaiting input
[2025-12-07 01:07:15] PROMPT_WAIT_END | Input received
[2025-12-07 01:08:18] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:19] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:19] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:19] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:20] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:20] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:20] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:20] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:20] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 01:08:21] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 01:08:21] INTERACTIVE_WAIT_START | Waiting for arrow key input
